ROW_HASH,PROPERTY_LOCATION_SK,PROPERTY_ID,ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,IS_CURRENT,VALID_FROM,VALID_TO
-30865426764261373,2388644135043629420,"2729-W-Harper-St,-Philadelphia,-PA-19130","2729 W Harper St, Philadelphia, PA 19130",Philadelphia,PA,Philadelphia,19130,True,2026-01-29,
-5682577431492848213,4355281615331112244,"716-Laurel-Ln,-Severna-Park,-MD-21146","716 Laurel Ln, Severna Park, MD 21146",Severna Park,MD,Anne Arundel,21146,True,2026-01-29,
-7814062138623175863,2057762451044022096,"13342-S-Mackinaw-Ave,-Chicago,-IL-60633","13342 S Mackinaw Ave, Chicago, IL 60633",Chicago,IL,Cook,60633,True,2026-01-29,
5006696996149325925,-115547365506819001,"116-Madison-St,-Macon,-GA-31201","116 Madison St, Macon, GA 31201",Macon,GA,Bibb,31201,True,2026-01-29,
-5036573392664917470,-1220675854621503442,"852-Blackcomb-Dr,-Cincinnati,-OH-45244","852 Blackcomb Dr, Cincinnati, OH 45244",Cincinnati,OH,Clermont,45244,True,2026-01-29,
1343902258549133616,-5824764940235515165,"8107-Lagos-De-Campo-Blvd,-Tamarac,-FL-33321","8107 Lagos De Campo Blvd, Tamarac, FL 33321",Tamarac,FL,Broward,33321,True,2026-01-29,
-2527862198374263399,-7940936147505178376,"422-Fairmont-St,-Harvey,-LA-70058","422 Fairmont St, Harvey, LA 70058",Harvey,LA,Jefferson,70058,True,2026-01-29,
-7706547187777599207,1053408643315903345,"10121-Foxtail-Pine-Ave,-Las-Vegas,-NV-89129","10121 Foxtail Pine Ave, Las Vegas, NV 89129",Las Vegas,NV,Clark,89129,True,2026-01-29,
2896525177799901172,-5171776674400844349,"16518-Avalon-Ave,-Apt-10,-Victorville,-CA-92395","16518 Avalon Ave, Apt 10, Victorville, CA 92395",Victorville,CA,San Bernardino,92395,True,2026-01-29,
-2157405129044557124,7043554701566732497,"1555-Glenhaven-Cir,-Ocoee,-FL-34761","1555 Glenhaven Cir, Ocoee, FL 34761",Ocoee,FL,Orange,34761,True,2026-01-29,
4338332021107251301,-6714891690085244678,"PO-Box-10,-Arlington-Heights,-IL-60006","PO Box 10, Arlington Heights, IL 60006",Arlington Heights,IL,Cook,60006,True,2026-01-29,
723184013531826228,6654503801812461872,"2680-H-Street-Rd,-Blaine,-WA-98230","2680 H Street Rd, Blaine, WA 98230",Blaine,WA,Whatcom,98230,True,2026-01-29,
-6695057694279916746,9008734502334036604,"808-Rivers-Creek-Ln,-Little-Elm,-TX-75068","808 Rivers Creek Ln, Little Elm, TX 75068",Little Elm,TX,Denton,75068,True,2026-01-29,
-1498902145003121463,-5338904651099131149,"374-Village-Dr,-Cheshire,-CT-06410","374 Village Dr, Cheshire, CT 06410",Cheshire,CT,New Haven,06410,True,2026-01-29,
3034206226101175163,8231309316077872948,"5112-Donovan-Dr,-Apt-211,-Alexandria,-VA-22304","5112 Donovan Dr, Apt 211, Alexandria, VA 22304",Alexandria,VA,Alexandria City,22304,True,2026-01-29,
-5415223642076290077,51681658356594019,"23470-Fordson-Dr,-Dearborn,-MI-48124","23470 Fordson Dr, Dearborn, MI 48124",Dearborn,MI,Wayne,48124,True,2026-01-29,
5959025392089728966,-6879090497175343496,"3050-Kittendale-Bay,-Costa-Mesa,-CA-92626","3050 Kittendale Bay, Costa Mesa, CA 92626",Costa Mesa,CA,Orange,92626,True,2026-01-29,
-3554949703526019124,3866140556891392832,"937-Tucana-Dr,-San-Marcos,-CA-92078","937 Tucana Dr, San Marcos, CA 92078",San Marcos,CA,San Diego,92078,True,2026-01-29,
-5856043976118781954,373459026625894295,"14342-Interlake-Ave-N,-Seattle,-WA-98133","14342 Interlake Ave N, Seattle, WA 98133",Seattle,WA,King,98133,True,2026-01-29,
-4654143951330309772,9081236127569787025,"133-Norwest-Dr,-Norwood,-MA-02062","133 Norwest Dr, Norwood, MA 02062",Norwood,MA,Norfolk,02062,True,2026-01-29,
-8077508449969532188,8096104060339607413,"774-Newton-Way,-Costa-Mesa,-CA-92627","774 Newton Way, Costa Mesa, CA 92627",Costa Mesa,CA,Orange,92627,True,2026-01-29,
2194023059589006478,5145263570554848803,"63-N-Maple-St,-Enfield,-CT-06082","63 N Maple St, Enfield, CT 06082",Enfield,CT,Hartford,06082,True,2026-01-29,
-2890349078307869783,5360167669162844445,"3616-Genevra-Ave,-Boynton-Beach,-FL-33436","3616 Genevra Ave, Boynton Beach, FL 33436",Boynton Beach,FL,Palm Beach,33436,True,2026-01-29,
-1795408202148611061,-3942433058742771291,"6824-Felix-St,-Mc-Lean,-VA-22101","6824 Felix St, Mc Lean, VA 22101",Mc Lean,VA,Fairfax,22101,True,2026-01-29,
8374093738508759941,-408197065750644358,"10887-E-33rd-St,-Apt-96,-Tulsa,-OK-74146","10887 E 33rd St, Apt 96, Tulsa, OK 74146",Tulsa,OK,Tulsa,74146,True,2026-01-29,
-5013188497972757344,-5814695593124694170,"1061-Pinedale-Dr-SE,-Smyrna,-GA-30080","1061 Pinedale Dr SE, Smyrna, GA 30080",Smyrna,GA,Cobb,30080,True,2026-01-29,
-7170120649796733952,4227043376078694291,"16330-Justine-St,-Markham,-IL-60428","16330 Justine St, Markham, IL 60428",Markham,IL,Cook,60428,True,2026-01-29,
5267550827413497446,5025759839731827801,"1814-Sotogrande-Blvd,-Apt-905,-Hurst,-TX-76053","1814 Sotogrande Blvd, Apt 905, Hurst, TX 76053",Hurst,TX,Tarrant,76053,True,2026-01-29,
1557450943599721905,529042036394587216,"57-Horseshoe-Dr,-Mount-Laurel,-NJ-08054","57 Horseshoe Dr, Mount Laurel, NJ 08054",Mount Laurel,NJ,Burlington,08054,True,2026-01-29,
2975854509567591215,6197733671511213108,"16442-Cavendish-Dr,-Houston,-TX-77059","16442 Cavendish Dr, Houston, TX 77059",Houston,TX,Harris,77059,True,2026-01-29,
-1427350156397938005,-8316468247033704486,"1908-45th-Ave-Apt-B,-Gulfport,-MS-39501","1908 45th Ave Apt B, Gulfport, MS 39501",Gulfport,MS,Harrison,39501,True,2026-01-29,
5563409770839453926,8579085156961337276,"4494-Old-Lake-Dr,-Decatur,-GA-30034","4494 Old Lake Dr, Decatur, GA 30034",Decatur,GA,Dekalb,30034,True,2026-01-29,
3917641526309566585,915789295915334002,"10330-W-Thunderbird-Blvd,-Apt-B215,-Sun-City,-AZ-85351","10330 W Thunderbird Blvd, Apt B215, Sun City, AZ 85351",Sun City,AZ,Maricopa,85351,True,2026-01-29,
-3241209789820662817,-9037211346128033506,"10985-Sw-62nd-Ter,-Ocala,-FL-34476","10985 Sw 62nd Ter, Ocala, FL 34476",Ocala,FL,Marion,34476,True,2026-01-29,
1094504071315628505,-3159113449322851220,"4828-Lorain-Ave,-Unit-4,-Cleveland,-OH-44102","4828 Lorain Ave, Unit 4, Cleveland, OH 44102",Cleveland,OH,Cuyahoga,44102,True,2026-01-29,
-8934594020129962472,-1209003808628382259,"4314-Austin-Ave,-Brownwood,-TX-76801","4314 Austin Ave, Brownwood, TX 76801",Brownwood,TX,Brown,76801,True,2026-01-29,
-2248970612379742754,-3235021672161399728,"18940-San-Juan-Dr,-Detroit,-MI-48221","18940 San Juan Dr, Detroit, MI 48221",Detroit,MI,Wayne,48221,True,2026-01-29,
3577784680576921348,-2224394398739045023,"175-Masters-Dr,-Sumter,-SC-29154","175 Masters Dr, Sumter, SC 29154",Sumter,SC,Sumter,29154,True,2026-01-29,
7629237991047718572,-132654046904811220,"14407-Fleetwell-Dr,-Houston,-TX-77045","14407 Fleetwell Dr, Houston, TX 77045",Houston,TX,Harris,77045,True,2026-01-29,
