PROPERTY_ID,PROPERTY_TYPE,SQUARE_FOOTAGE,BEDROOMS,BATHROOMS,PROPERTY_AGE,LOT_SIZE,LATITUDE,LONGITUDE,TAX_2024,TOTAL_VALUE_2023
"9806-Decatur-Rd,-Middle-River,-MD-21220",Single Family,1720.0,4.0,2.5,19,1720.0,39.348699,-76.447456,3739.0,149390.0
"2002-Nutgrove-Ln,-Indian-Trail,-NC-28079",Single Family,3352.0,5.0,3.0,12,13504.0,35.026359,-80.66987,2971.0,357700.0
"10321-S-Grevillea-Ave,-Inglewood,-CA-90304",Multi-Family,1784.0,3.0,3.0,101,6889.0,33.942127,-118.355144,5960.0,236348.0
"10-Anna-Way,-Newark,-DE-19711",Single Family,1550.0,3.0,2.0,22,15246.0,39.690238,-75.726675,3739.0,71900.0
"7-Paris-St,-Milford,-CT-06460",Single Family,1197.0,2.0,1.0,106,3485.0,41.216211,-73.007475,7283.0,249930.0
"518-Merwyn-Rd,-Narberth,-PA-19072",Single Family,2168.0,3.0,2.0,101,11300.0,40.004562,-75.256258,10714.0,244930.0
"1343-67th-St,-Berkeley,-CA-94702",Single Family,1115.0,3.0,1.0,101,3450.0,37.850733,-122.281027,18815.0,149390.0
"3070-Herb-Garden-Dr,-Frederick,-MD-21704",Single Family,2612.0,3.0,3.5,5,3795.0,39.318442,-77.340695,3739.0,149390.0
"11550-Tara-Blvd,-Hampton,-GA-30228",Unknown,1584.0,3.0,2.0,46,8276.0,33.441426,-84.320919,3739.0,149390.0
"1-Kensington-Hts,-Worcester,-MA-01602",Single Family,3701.0,5.0,4.0,136,11046.0,42.274505,-71.835849,3739.0,149390.0
"1308-Alameda-Ave,-Clearwater,-FL-33759",Single Family,1974.0,3.0,2.0,53,13064.0,27.977903,-82.700732,3490.0,219914.0
"300-White-Ave,-New-Hyde-Park,-NY-11040",Single Family,1095.0,4.0,1.0,74,4200.0,40.738245,-73.696415,3468.0,530.0
"169-Longwood-Ave,-Brockton,-MA-02301",Multi-Family,2050.0,4.0,2.0,111,4073.0,42.062023,-71.025429,6678.0,149390.0
"311-Lennox-Pl,-Wilmington,-NC-28412",Single Family,2994.0,4.0,2.5,49,21344.0,34.162891,-77.920454,2549.0,294100.0
"8085-Stonegate-Dr,-Tinley-Park,-IL-60487",Single Family,2898.0,4.0,3.0,26,11326.0,41.531333,-87.813336,3739.0,149390.0
"14292-Tungsten-Way-NW,-Anoka,-MN-55303",Single Family,978.0,2.0,1.0,32,10800.0,45.230187,-93.424095,4030.0,311300.0
"1409-29th-Ct-NE,-Issaquah,-WA-98029",Single Family,3060.0,4.0,2.5,19,8179.0,47.539499,-121.994006,12872.0,149390.0
"56-River-Branch-Way,-Hoschton,-GA-30548",Single Family,1797.0,3.0,2.0,4,13504.0,34.115962,-83.710688,3453.0,127760.0
"3411-Mount-Vernon-St,-Philadelphia,-PA-19104",Single Family,1044.0,3.0,1.0,86,964.0,39.964765,-75.192187,1051.0,149390.0
"1003-Old-Timber-Rd,-Winston-Salem,-NC-27101",Single Family,896.0,2.0,1.5,43,436.0,36.105329,-80.175556,551.0,39300.0
"847-Roselyn-Dr,-Victoria,-MN-55386",Single Family,1584.0,3.0,2.0,46,1307.0,44.864189,-93.641603,3672.0,149390.0
"3135-Sw-116th-Ave,-Beaverton,-OR-97005",Single Family,2084.0,4.0,3.0,62,27007.0,45.497388,-122.796231,6149.0,320050.0
"4184-Brandon-Dr,-Delray-Beach,-FL-33445",Single Family,1992.0,3.0,2.0,53,10498.0,26.469585,-80.109261,2172.0,138469.0
"11525-Metropolitan-Ave,-Apt-164,-Richmond-Hill,-NY-11418",Apartment,88272.0,3.0,2.0,101,28500.0,40.707986,-73.836492,3739.0,149390.0
"2163-Nw-157th-Ln,-Pembroke-Pines,-FL-33028",Single Family,2532.0,4.0,3.0,27,9913.0,26.02796,-80.356579,7153.0,384240.0
"950-N-Kings-Rd,-Unit-21,-West-Hollywood,-CA-90069",Condo,456.0,0.0,1.0,53,120104.0,34.088387,-118.370996,5798.0,451350.0
"5020-Chelsea-Brook-Ln,-Glen-Allen,-VA-23060",Single Family,1724.0,4.0,2.0,34,8501.0,37.662771,-77.55266,3013.0,149390.0
"8086-Thunderhead-Ave,-White-City,-OR-97503",Single Family,1242.0,3.0,2.0,27,6534.0,42.434513,-122.829854,2459.0,167360.0
"27-Fenton-Ave,-Binghamton,-NY-13901",Single Family,1256.0,3.0,1.0,73,7540.0,42.144495,-75.888626,3739.0,70000.0
"1927-White-Star-Dr,-Diamond-Bar,-CA-91765",Single Family,1554.0,4.0,2.0,50,7527.0,33.986939,-117.839161,6602.0,343856.0
"6824-Felix-St,-Mc-Lean,-VA-22101",Single Family,1330.0,4.0,3.0,68,10887.0,38.92173,-77.181212,11754.0,931230.0
"950-N-Kings-Rd,-Unit-21,-West-Hollywood,-CA-90069",Condo,456.0,0.0,1.0,53,120104.0,34.088387,-118.370996,5798.0,451350.0
"10740-N-153rd-East-Ave,-Owasso,-OK-74055",Single Family,1522.0,3.0,2.0,14,6188.0,36.309916,-95.8059,2244.0,149390.0
"957-Lee-Ave,-De-Pere,-WI-54115",Single Family,1132.0,3.0,2.0,56,9670.0,44.440012,-88.082359,2887.0,149390.0
"1034-Garfield-Ave,-Beloit,-WI-53511",Single Family,902.0,2.0,1.0,146,6186.0,42.510112,-89.055455,1109.0,149390.0
"5843-Hamilton-Ave,-Cincinnati,-OH-45224",Unknown,1584.0,3.0,2.0,46,8276.0,39.197585,-84.54626,3739.0,149390.0
"4034-Clubhouse-Ct,-Center-Valley,-PA-18034",Single Family,2448.0,3.0,2.0,24,3070.0,40.54454,-75.420413,4360.0,149390.0
"222-S-Racine-Ave,-Apt-405,-Chicago,-IL-60607",Condo,2150.0,2.0,3.0,29,17406.0,41.878429,-87.657453,3739.0,149390.0
"9972-Lorae-Way,-Elk-Grove,-CA-95624",Single Family,2361.0,4.0,3.0,9,6635.0,38.394868,-121.340982,10177.0,758698.0
"4542-Pennsylvania-Ave-NE,-Roanoke,-VA-24019",Single Family,1810.0,3.0,2.0,53,7584.0,37.318496,-79.926548,2726.0,175200.0
"3645-Orth-St,-Bethlehem,-PA-18020",Single Family,1406.0,3.0,1.5,51,13199.0,40.656501,-75.326895,4367.0,56900.0
"1114-Sw-Irving-St,-Port-Saint-Lucie,-FL-34983",Single Family,1874.0,3.0,2.0,36,10000.0,27.306489,-80.353758,5334.0,263200.0
"2485-Billiton-Ct,-Columbus,-OH-43220",Single Family,2990.0,4.0,3.5,54,23217.0,40.049466,-83.084951,3739.0,254980.0
"5501-Applegate-Ln,-Louisville,-KY-40219",Single Family,1188.0,3.0,1.0,71,13386.0,38.13497,-85.65851,1706.0,148960.0
"2919-Spencerville-Rd,-Burtonsville,-MD-20866",Single Family,1316.0,3.0,1.5,67,21890.0,39.110864,-76.950906,3739.0,364300.0
"7286-Coppertip-Ave,-Las-Vegas,-NV-89179",Single Family,2226.0,4.0,3.0,13,3485.0,35.997634,-115.251276,3739.0,135419.0
"819-Lake-Highland-Dr,-Orlando,-FL-32803",Single Family,978.0,3.0,1.0,101,6103.0,28.561539,-81.366653,2417.0,149390.0
